Entity,Code,Year,Share of the population who are Hindus
Congo,COG,2010,0.003154657
Congo,COG,2020,0.003507434
Costa Rica,CRI,2010,0.008870136
Costa Rica,CRI,2020,0.009369318
Cote d'Ivoire,CIV,2010,0
Cote d'Ivoire,CIV,2020,0
Croatia,HRV,2010,0.011464562
Croatia,HRV,2020,0.011706879
Cuba,CUB,2010,0.209979
Cuba,CUB,2020,0.209979
Curacao,CUW,2010,1.9998115
Curacao,CUW,2020,1.9868361
Cyprus,CYP,2010,0.28326467
Cyprus,CYP,2020,0.2666587
Czechia,CZE,2010,0.02276182
Czechia,CZE,2020,0.016849395
Democratic Republic of Congo,COD,2010,0.001577757
Democratic Republic of Congo,COD,2020,0.001197573
Denmark,DNK,2010,0.30498925
Denmark,DNK,2020,0.43512356
Djibouti,DJI,2010,0.040002666
Djibouti,DJI,2020,0.039979678
Dominican Republic,DOM,2010,0.007569748
Dominican Republic,DOM,2020,0.006363831
East Timor,TLS,2010,0.15767682
East Timor,TLS,2020,0.012914566
Ecuador,ECU,2010,0.008672688
Ecuador,ECU,2020,0.007959703
Egypt,EGY,2010,0.0000628542
Egypt,EGY,2020,0.000170961
El Salvador,SLV,2010,0.001799139
El Salvador,SLV,2020,0.001906962
Equatorial Guinea,GNQ,2010,0.04992788
Equatorial Guinea,GNQ,2020,0.049927894
Eritrea,ERI,2010,0.02663576
Eritrea,ERI,2020,0.030002011
Estonia,EST,2010,0.05880431
Estonia,EST,2020,0.062808216
Eswatini,SWZ,2010,0.13637355
Eswatini,SWZ,2020,0.1271685
Ethiopia,ETH,2010,0.002468538
Ethiopia,ETH,2020,0.002422591
Europe,OWID_EUR,2010,0.22388355
Europe,OWID_EUR,2020,0.28707832
Europe (Pew),PEW_EUR,2010,0.2228033
Europe (Pew),PEW_EUR,2020,0.28589082
Fiji,FJI,2010,27.111206
Fiji,FJI,2020,24.10296
Finland,FIN,2010,0.06293019
Finland,FIN,2020,0.14736658
France,FRA,2010,0.09608522
France,FRA,2020,0.12776679
French Guiana,GUF,2010,1.563838
French Guiana,GUF,2020,1.6000295
French Polynesia,PYF,2010,0.070475146
French Polynesia,PYF,2020,0.06293068
Gabon,GAB,2010,0
Gabon,GAB,2020,0
Gambia,GMB,2010,0.07267941
Gambia,GMB,2020,0.066045195
Georgia,GEO,2010,0.011311418
Georgia,GEO,2020,0.012154249
Germany,DEU,2010,0.12623432
Germany,DEU,2020,0.15651976
Ghana,GHA,2010,0
Ghana,GHA,2020,0
Greece,GRC,2010,0.072504595
Greece,GRC,2020,0.08561455
Grenada,GRD,2010,0.20165356
Grenada,GRD,2020,0.20165356
Guadeloupe,GLP,2010,0.50627196
Guadeloupe,GLP,2020,0.49992087
Guam,GUM,2010,0
Guam,GUM,2020,0
Guatemala,GTM,2010,0.001237699
Guatemala,GTM,2020,0.001324677
Guinea,GIN,2010,0
Guinea,GIN,2020,0
Guinea-Bissau,GNB,2010,0
Guinea-Bissau,GNB,2020,0
Guyana,GUY,2010,24.825644
Guyana,GUY,2020,23.39901
Haiti,HTI,2010,0
Haiti,HTI,2020,0
Honduras,HND,2010,0
Honduras,HND,2020,0.001284361
Hong Kong,HKG,2010,0.10497679
Hong Kong,HKG,2020,0.30339074
Hungary,HUN,2010,0.03534346
Hungary,HUN,2020,0.05762102
Iceland,ISL,2010,0.12599517
Iceland,ISL,2020,0.16047928
India,IND,2010,79.97396
India,IND,2020,79.36619
Indonesia,IDN,2010,1.6939561
Indonesia,IDN,2020,1.5842967
Iran,IRN,2010,0
Iran,IRN,2020,0.000219217
Iraq,IRQ,2010,0.000479772
Iraq,IRQ,2020,0.000493456
Ireland,IRL,2010,0.23686796
Ireland,IRL,2020,0.69491416
Israel,ISR,2010,0.1992712
Israel,ISR,2020,0.16612966
Italy,ITA,2010,0.30003983
Italy,ITA,2020,0.42585316
Jamaica,JAM,2010,0.03840673
Jamaica,JAM,2020,0.03687374
Japan,JPN,2010,0.02483479
Japan,JPN,2020,0.031737354
Jordan,JOR,2010,0.06381237
Jordan,JOR,2020,0.027908115
Kazakhstan,KAZ,2010,0
Kazakhstan,KAZ,2020,0
Kenya,KEN,2010,0.13922246
Kenya,KEN,2020,0.12790793
Kiribati,KIR,2010,0
Kiribati,KIR,2020,0
Kosovo,OWID_KOS,2010,0
Kosovo,OWID_KOS,2020,0
Kuwait,KWT,2010,7.380531
Kuwait,KWT,2020,8.504201
Kyrgyzstan,KGZ,2010,0.01568263
Kyrgyzstan,KGZ,2020,0.009338705
Laos,LAO,2010,0
Laos,LAO,2020,0
Latin America-Caribbean (Pew),PEW_LAC,2010,0.11284309
Latin America-Caribbean (Pew),PEW_LAC,2020,0.10759807
Latvia,LVA,2010,0.019985434
Latvia,LVA,2020,0.04322496
Lebanon,LBN,2010,0.016173588
Lebanon,LBN,2020,0.017323207
Lesotho,LSO,2010,0.02471886
Lesotho,LSO,2020,0.044363603
Liberia,LBR,2010,0.007462768
Liberia,LBR,2020,0.005896708
Libya,LBY,2010,0.08897058
Libya,LBY,2020,0.089997694
Lithuania,LTU,2010,0.008601415
Lithuania,LTU,2020,0.018437974
Luxembourg,LUX,2010,0.13422716
Luxembourg,LUX,2020,0.36008912
Macao,MAC,2010,0
Macao,MAC,2020,0
Madagascar,MDG,2010,0.059822228
Madagascar,MDG,2020,0.06366657
Malawi,MWI,2010,0.05843018
Malawi,MWI,2020,0.069153935
Malaysia,MYS,2010,6.279292
Malaysia,MYS,2020,6.122179
Maldives,MDV,2010,2.513083
Maldives,MDV,2020,2.5410874
Mali,MLI,2010,0
Mali,MLI,2020,0
Malta,MLT,2010,0.08358109
Malta,MLT,2020,1.4153273
Martinique,MTQ,2010,0.23085342
Martinique,MTQ,2020,0.23743221
Mauritania,MRT,2010,0
Mauritania,MRT,2020,0
Mauritius,MUS,2010,48.51429
Mauritius,MUS,2020,48.28931
Mayotte,MYT,2010,0
Mayotte,MYT,2020,0
Mexico,MEX,2010,0.001766544
Mexico,MEX,2020,0.00391715
Micronesia (country),FSM,2010,0.008744567
Micronesia (country),FSM,2020,0.008626352
Middle East-North Africa (Pew),PEW_MENA,2010,0.56061095
Middle East-North Africa (Pew),PEW_MENA,2020,0.7331242
Moldova,MDA,2010,0
Moldova,MDA,2020,0
Mongolia,MNG,2010,0.0029602
Mongolia,MNG,2020,0.003035514
Montenegro,MNE,2010,0
Montenegro,MNE,2020,0
Morocco,MAR,2010,0
Morocco,MAR,2020,0
Mozambique,MOZ,2010,0.043339342
Mozambique,MOZ,2020,0.032073654
Myanmar,MMR,2010,0.57656014
Myanmar,MMR,2020,0.43941438
Namibia,NAM,2010,0.057162713
Namibia,NAM,2020,0.052227754
Nepal,NPL,2010,81.52294
Nepal,NPL,2020,81.18401
Netherlands,NLD,2010,0.4956957
Netherlands,NLD,2020,0.5628083
New Caledonia,NCL,2010,0
New Caledonia,NCL,2020,0
New Zealand,NZL,2010,2.3355844
New Zealand,NZL,2020,2.788676
Nicaragua,NIC,2010,0
Nicaragua,NIC,2020,0
Niger,NER,2010,0
Niger,NER,2020,0
Nigeria,NGA,2010,0.00018639
Nigeria,NGA,2020,0.000144004
North America,OWID_NAM,2010,0.4906052
North America,OWID_NAM,2020,0.66403186
North America (Pew),PEW_NAM,2010,0.67531604
North America (Pew),PEW_NAM,2020,0.95801926
North Korea,PRK,2010,0.001458291
North Korea,PRK,2020,0.001585003
North Macedonia,MKD,2010,0
North Macedonia,MKD,2020,0
Norway,NOR,2010,0.15297334
Norway,NOR,2020,0.23049018
Oceania,OWID_OCE,2010,1.7954648
Oceania,OWID_OCE,2020,2.5533388
Oman,OMN,2010,5.1689277
Oman,OMN,2020,9.531417
Pakistan,PAK,2010,1.7630821
Pakistan,PAK,2020,2.1397018
Palestine,PSE,2010,0
Palestine,PSE,2020,0
Panama,PAN,2010,0.07882239
Panama,PAN,2020,0.09314463
Papua New Guinea,PNG,2010,0.002769254
Papua New Guinea,PNG,2020,0.002256494
Paraguay,PRY,2010,0
Paraguay,PRY,2020,0
Peru,PER,2010,0.002565895
Peru,PER,2020,0.009488135
Philippines,PHL,2010,0.001283056
Philippines,PHL,2020,0.001328647
Poland,POL,2010,0.004145362
Poland,POL,2020,0.005204489
Portugal,PRT,2010,0.18888593
Portugal,PRT,2020,0.21903437
Puerto Rico,PRI,2010,0.123471275
Puerto Rico,PRI,2020,0.117986366
Qatar,QAT,2010,11.090465
Qatar,QAT,2020,10.629536
Reunion,REU,2010,4.5961537
Reunion,REU,2020,4.5099564
Romania,ROU,2010,0.001721153
Romania,ROU,2020,0.019956755
Russia,RUS,2010,0.07286625
Russia,RUS,2020,0.07123837
Rwanda,RWA,2010,0.004850117
Rwanda,RWA,2020,0.003803334
Saint Lucia,LCA,2010,0.30669203
Saint Lucia,LCA,2020,0.31132656
Saint Vincent and the Grenadines,VCT,2010,0.085553266
Saint Vincent and the Grenadines,VCT,2020,0.08554294
Samoa,WSM,2010,0.051368587
Samoa,WSM,2020,0.037221506
Sao Tome and Principe,STP,2010,0
Sao Tome and Principe,STP,2020,0
Saudi Arabia,SAU,2010,2.005758
Saudi Arabia,SAU,2020,2.6221166
Senegal,SEN,2010,0
Senegal,SEN,2020,0
Serbia,SRB,2010,0.003397028
Serbia,SRB,2020,0.003533567
Seychelles,SYC,2010,1.4604812
Seychelles,SYC,2020,1.4491702
Sierra Leone,SLE,2010,0.006214366
Sierra Leone,SLE,2020,0.009715848
Singapore,SGP,2010,5.378502
Singapore,SGP,2020,5.2946
Slovakia,SVK,2010,0.005317528
Slovakia,SVK,2020,0.017808132
Slovenia,SVN,2010,0.10073228
Slovenia,SVN,2020,0.010602368
Solomon Islands,SLB,2010,0.009252517
Solomon Islands,SLB,2020,0.007233896
Somalia,SOM,2010,0.046939503
Somalia,SOM,2020,0.039998192
South Africa,ZAF,2010,1.0357026
South Africa,ZAF,2020,1.0650073
South America,OWID_SAM,2010,0.084143095
South America,OWID_SAM,2020,0.07984941
South Korea,KOR,2010,0.031610403
South Korea,KOR,2020,0.09181268
South Sudan,SSD,2010,0.002003497
South Sudan,SSD,2020,0.00200112
Spain,ESP,2010,0.046858408
Spain,ESP,2020,0.12520808
Sri Lanka,LKA,2010,12.579983
Sri Lanka,LKA,2020,14.534928
Sub-Saharan Africa (Pew),PEW_SSA,2010,0.15527757
Sub-Saharan Africa (Pew),PEW_SSA,2020,0.1300505
Sudan,SDN,2010,0.001333731
Sudan,SDN,2020,0.00123761
Suriname,SUR,2010,23.40078
Suriname,SUR,2020,22.45374
Sweden,SWE,2010,0.26036942
Sweden,SWE,2020,0.45201534
Switzerland,CHE,2010,0.52222663
Switzerland,CHE,2020,0.53941804
Syria,SYR,2010,0.008899363
Syria,SYR,2020,0.009999624
Taiwan,TWN,2010,0
Taiwan,TWN,2020,0
Tajikistan,TJK,2010,0.004592103
Tajikistan,TJK,2020,0.00366753
Tanzania,TZA,2010,0.009975499
Tanzania,TZA,2020,0.006482508
Thailand,THA,2010,0.071827345
Thailand,THA,2020,0.040371645
Togo,TGO,2010,0.00152164
Togo,TGO,2020,0.001184472
Tonga,TON,2010,0.09730988
Tonga,TON,2020,0.078757726
Trinidad and Tobago,TTO,2010,20.882442
Trinidad and Tobago,TTO,2020,20.617247
Tunisia,TUN,2010,0
Tunisia,TUN,2020,0
Turkey,TUR,2010,0.03246485
Turkey,TUR,2020,0.043144707
Turkmenistan,TKM,2010,0.001898265
Turkmenistan,TKM,2020,0.001599888
Uganda,UGA,2010,0.004637971
Uganda,UGA,2020,0.005336556
Ukraine,UKR,2010,0.011426565
Ukraine,UKR,2020,0.01266236
United Arab Emirates,ARE,2010,10.803028
United Arab Emirates,ARE,2020,11.753531
United Kingdom,GBR,2010,1.4705719
United Kingdom,GBR,2020,1.6954442
United States,USA,2010,0.5752949
United States,USA,2020,0.8942857
United States Virgin Islands,VIR,2010,0.42470255
United States Virgin Islands,VIR,2020,0.42040548
Uruguay,URY,2010,0
Uruguay,URY,2020,0
Uzbekistan,UZB,2010,0.20143884
Uzbekistan,UZB,2020,0.027500505
Vanuatu,VUT,2010,0.020370498
Vanuatu,VUT,2020,0.019250408
Venezuela,VEN,2010,0
Venezuela,VEN,2020,0
Vietnam,VNM,2010,0.06554913
Vietnam,VNM,2020,0.04128809
Western Sahara,ESH,2010,0
Western Sahara,ESH,2020,0
World,OWID_WRL,2010,14.977995
World,OWID_WRL,2020,14.936468
Yemen,YEM,2010,0.020206964
Yemen,YEM,2020,0.007743763
Zambia,ZMB,2010,0.018198842
Zambia,ZMB,2020,0.016061105
Zimbabwe,ZWE,2010,0.048871588
Zimbabwe,ZWE,2020,0.03811185
